(00:00) おはようございます。ご上世ドラの
(27:33) リバーシブルとしても使える、え、優れ物
(27:35) になってます。今めちゃくちゃ需要が
(27:38) 高まって、あの人気ですのでもし見つけ
(27:41) たら、え、リサーチしてみてください。
(27:43) もしかしたら利益商品になる可能性もありますので、要
(27:45) チェックチェックでございます。
(27:48) 2
(27:48) 店舗目終わりました。じゃーん。
(27:52) 3
(27:52) 点仕入れました。なんですが中身がちょっとね、傷が結構目立ってしまったので利益取れるかわからない。
(28:01) ま、その実がその新品未仕用だったりとか
(28:04) 未用に近いって状態の実だったので
(28:08) 目立たつ傷汚れかって言われたらそうでも
(28:09) ないんですけどちょ実があのそれしか
(28:12) なかったので金額も高いんでねなかなか
(28:15) どうしようかなってところで一旦保留にし
(28:17) ました。で調べてちょっと行けそうだっ
(28:20) たらサイドこの店舗来てあの仕入れたいな
(28:23) と思うんですけど一旦なしでっていう判断
(28:27) に至りました。でもめちゃくちゃ人気なの
(28:29) で回転率もめちゃくちゃ早いし、しかも
(28:31) アンジェPMはあのリバーシブルのタイプ
(28:34) で服装によってあの柄のコテコテの柄の
(28:37) 入ったバッグにしてもいいし服が柄とか
(28:41) 入ってたらリバーシブルにして中があの黒
(28:44) のレザーなので自分のファッションに対し
(28:47) て合わせやすいバッグなので、ま、高い
(28:49) 値段で、え、取引されることが多いですね
(28:52) 。てことで、ま、帰宅したいと思います。
(28:55) 以上2店舗目でした。
(28:57) じゃん。スーパーに来てます。胸肉と大バとチーズを使った料理を作ってパ
(29:00) [音楽]
(29:08) 食べようかなと思ってます。
(29:10) 1人1人と犬2
(29:12) 匹の暮らしなんで結構さっとメニューが多かったりしますね。
(29:13) [音楽]
(29:17) 時間も時間なんでもう遅いと言うんでね、
(29:20) あのご飯早くね、うるさいから早く帰り
(29:24) たいんですけど、とりあえずぬ肉2枚買っ
(29:27) て帰ろうかなと思います。
(29:34) 今日仕入れたものです。10点ぐらいです
(29:37) かね、大体これで5万とか利益出たらいい
(29:40) かなって感じですね。ま、2店舗で5万円
(29:43) 出たらまずまずなんじゃないでしょうか。
(29:46) これらをちょっとね、再度検品して、ま、
(29:48) 撮影までできたらいいかなって感じです。
(29:51) 今日の店舗仕入れは以上になります。
(29:54) いかがでしたでしょうか?今回は1日
(29:57) 仕入れの様子をほぼ全部お届けしました。
(29:59) いつもこんな感じで空いた時間をうまく
(30:01) 使いながら仕入れをしています。今日も1
(30:04) 日で5万円ぐらいの利益を見込めると思い
(30:06) ます。僕はいつもこの5畳のスペースで
(30:09) 背取りをやりながら無理せず緩く稼いでる
(30:11) 感じです。正直背取りは5畳分の部屋が
(30:14) あれば誰でも稼げます。こんな風に隙間で
(30:17) 店舗仕入れをやってますけど、実は僕普段
(30:20) はオンラインで仕入れられる電脳仕入れの
(30:22) 方が多くて全体の7割ぐらいが電脳仕入れ
(30:25) なんですよ。僕めっちゃ引きこもりがちな
(30:27) んで、たちとNetflixを見ながら
(30:30) 在宅で完結する電脳ばかりやっちゃうん
(30:32) ですよね。今度電脳仕入れの動画も作り
(30:35) ますね。確かに、え、店舗仕入れはお
(30:37) 宝探しみたいで楽しいんですけど、店舗に
(30:40) よって寝付けが厳しかったり、体力的にっ
(30:43) たりして長く続けるのは意外と大変なん
(30:46) ですよね。なので店舗仕入れを月に何回も
(30:48) 何回も行き続けるのはやっぱり、え、
(30:51) しんどくなっちゃいます。ぶっちゃけ僕も
(30:53) 背取りを挫折し掛けたことは何度もあり
(30:55) ますもん。電脳だと結構ライバルが多くて
(30:58) 価格競争になりやすいので店舗よりも白に
(31:01) なりやすいというイメージがあると思い
(31:02) ます。僕もずっとそう気嫌いしてました。
(31:05) 確かにヤフとかセカストオンラインなど
(31:08) みんなが使える仕入れ先だけで仕入れたり
(31:10) すると薄入れにはなりがちなんですけど、
(31:13) 僕の場合は背ぞりの師匠でもあるつしさん
(31:16) からブンド物を安く下ろしてもらえる特別
(31:19) なシール先を使わせてもらっていて、それ
(31:22) で結構利益出てるってところは正直あり
(31:24) ます。こういうお下ろし先って普通は特別
(31:27) な信用や繋がりなど必要で個人じゃまず
(31:30) 下ろしてくれないのでつしさん様さですね
(31:33) 。はい。一般の僕らにこんなおろし先を
(31:36) 使わせてくれるってしさんはやっぱアン
(31:38) パンマンか何かなんですかね。ま、その
(31:40) おかげもあって今は安定して月200万円
(31:43) ぐらいは普通に稼げるようになったんです
(31:46) よね。いや、昔の貧乏時代の自分なら考え
(31:50) られないです。ま、そんな感じで今公式
(31:53) LINEを追加してもらったらおろし
(31:54) ルートとかの詳しい解説とか見れるので
(31:57) 興味のある方は是非動画下の概要欄から僕
(32:00) の公式LINEを覗いてみてくださいね。
(32:02) こんな感じで5条という限られたスペース
(32:04) で無理せず緩く背取りを稼いでる日常をお
(32:07) 届けしています。それでは本日もご視聴
(32:10) いただきありがとうございました。また次
(32:12) の動画でお会いしましょう。さよなら。
